ああ|ああ	感叹词；哎呀
建て|～だて	……造式（房屋样式）
けんかする|けんかする	吵架
そんな|そんな	那样的
ぶどう|ぶどう	葡萄
痩せる|やせる	瘦
なさる|なさる	做（尊敬语）
泣く|なく	哭
答|こたえ	回答；答案
けがする|けがする	受伤
以内|いない	以内
用意|ようい	准备
はず|はず	应该；理应
楽む|たのしむ	享受
おる|おる	在；有（谦让语）
申す|もうす	叫；说（谦让语）
おつり|おつり	找的零钱
チェックする|チェックする	核对；检查
踊り|おどり	舞蹈
差し上げる|さしあげる	给（谦让语）
凄い|すごい	厉害；惊人
一杯|いっぱい	一杯；满
中々|なかなか	相当；怎么也（不）
びっくりする|びっくりする	吃惊
是非|ぜひ	务必
おいでになる|おいでになる	来；去；在（尊敬语）
遊び|あそび	玩耍
輸入|ゆにゅう	进口
お金持ち|かねもち; おかねもち	有钱人
堅; 硬; 固い|かたい	硬；坚硬
あげる|あげる	给（别人）；举起
放送|ほうそうする	广播；播放
負ける|まける	输；败
見つける|みつける	找到；发现
下りる|おりる	下（楼梯）
高校; 高等学校|こうこう; こうとうがっこう	高中
くださる|くださる	给（尊敬语）
お見舞い|おみまい	探望；慰问
ご存じ|ごぞんじ	知道（尊敬语）
あ|あ	啊
召し上がる|めしあがる	吃；喝（尊敬语）
様|よう	样子；方式
焼ける|やける	烧；烤好；晒黑
点く|つく	（灯）亮；（火）点着
落す|おとす	弄掉；丢失
回る、回す|まわる、まわす	转；旋转／转动
おっしゃる|おっしゃる	说（尊敬语）
スーパー (マーケット)|スーパー (マーケット)	超市
程|ほど	程度；左右
けれど; けれども|けれど; けれども	不过；然而
舟|ふね	船
虫|むし	虫子
コンピュータ; コンピューター|コンピュータ; コンピューター	电脑
役に立つ|やくにたつ	有用；有帮助
真中|まんなか	正中间
込む|こむ	拥挤
この頃|このごろ	近来；最近
ガソリンスタンド|ガソリンスタンド	加油站
翻訳|ほんやく	翻译（笔译）
お陰|おかげ	托……的福；多亏
大分|だいぶ	相当；颇
様々|さまざま	各种各样
氏|し	先生；氏
ジェット機|ジェットき	喷气式飞机
しきりに|しきりに	频繁地；再三
支払|しはらい	支付；付款
死亡|しぼう	死亡
しまった (かん)|しまった (かん)	糟了！（感叹）
州|しゅう	州
重体|じゅうたい	病危；重伤
集団|しゅうだん	集团；集体
小|しょう	小
章|しょう	章节；勋章
少女|しょうじょ	少女
消防|しょうぼう	消防
女王|じょおう	女王
書斎|しょさい	书房
尻|しり	臀部
知合い|しりあい	熟人
人物|じんぶつ	人物；人品
すくなくとも|すくなくとも	至少
すてき|すてき	漂亮；极好
既に|すでに	已经
済ませる|すませる	做完；应付
すみません (かん)|すみません (かん)	对不起；劳驾
清む|すむ	澄清；清澈
刷る|する	印刷
為る|する	做；为
すれ違う|すれちがう	擦肩而过
正|せい	正；正规
性|せい	性；性别
所為|せい	原因（多指坏事的缘由）
税|ぜい	税
精々|せいぜい	至多；尽量
生長|せいちょう	生长
温かい|あたたかい	温暖的
暖まる|あたたまる	变暖
温める|あたためる	加热；温
あちこち|あちこち	到处
粗|あら	缺点；瑕疵
在る; 有る|ある	有；在
或|ある	某个；有的
行き|いき	去；行程
行き|ゆき	去；开往
いけない|いけない	不行；不好
いたずら|いたずら	恶作剧
いただきます|いただきます	我开动了（饭前用语）
いつのまにか|いつのまにか	不知不觉
従兄弟|いとこ	表（堂）兄弟
従姉妹|いとこ	表（堂）姐妹
否|いや	不；不愿意
いらっしゃい|いらっしゃい	欢迎
祝い|いわい	祝贺；庆典
うなる|うなる	呻吟；轰鸣
羨ましい|うらやましい	令人羡慕
運|うん	运气
衛星|えいせい	卫星
老い|おい	老年；衰老
丘|おか	丘陵；山冈
押える|おさえる	按；压；控制
治める|おさめる	治理；管理
お互い|おたがい	彼此
男の人|おとこのひと	男人
お前|おまえ	你
おめでとう|おめでとう	恭喜；祝贺
お目に掛かる|おめにかかる	见面（谦让语）
思い付く|おもいつく	想到；想出
泳ぎ|およぎ	游泳
下す|おろす	放下；降低
降ろす|おろす	卸下；放下
可|か	可以；及格
蚊|か	蚊子
課|か	科；课
カー|カー	汽车
貝|かい	贝壳；贝
替える|かえる	更换；替换
学|がく	学问
菓子|かし	点心
課程|かてい	课程
かなり|かなり	相当
かもしれない|かもしれない	也许；说不定
歌謡|かよう	歌谣
殻|から	壳；外皮
河|かわ	河；河流
可愛そう|かわいそう	可怜
代る|かわる	代替
効く|きく	有效
気体|きたい	气体
気付く|きづく	察觉；注意到
気に入る|きにいる	中意；喜欢
旧|きゅう	旧；以前的
級|きゅう	级别；等级
球|きゅう	球
局|きょく	局；广播台
句|く	句子
管|くだ	管子
組|くみ	班；组
グランド|グランド	运动场；操场
咥える|くわえる	叼；含在嘴里
訓|くん	训读
軍|ぐん	军队
郡|ぐん	郡；区
軍隊|ぐんたい	军队；部队
劇|げき	戏剧
恋|こい	恋爱
高速|こうそく	高速
幸福|こうふく	幸福
極|ごく	极其
超す|こす	超过；越过
こぼす|こぼす	洒；撒落
こぼれる|こぼれる	洒落；溢出
こんにちは|こんにちは	你好（白天用语）
昨|さく	上（年）；昨
注す|さす	倒（酒）；斟
射す|さす	照射
丸|まる	圆；（整）月
無|む	无；零
向かい|むかい	对面
寧ろ|むしろ	宁可；不如说
胸|むね	胸；胸口
名詞|めいし	名词
命令|めいれい	命令
滅多に|めったに	很少（接否定）
もったいない|もったいない	浪费；可惜
基|もと	基础；根据
素|もと	本来；原本
約|やく	大约
厄介|やっかい	麻烦；难办
辞める|やめる	辞职
床|ゆか	地板
曜日|ようび	星期
読み|よみ	读法；读音
因る|よる	由于；取决于
よろしく (かん)|よろしく (かん)	请多关照
来|らい～	下（个）～
率|りつ	率；比率
例外|れいがい	例外
別れ|わかれ	分别；离别
僅か|わずか	仅仅；一点点
湾|わん	湾
椀|わん	碗
悪|あく	恶；坏
当り|あたり	中；命中；附近
異|い	不同；差异
意|い	意；心意
医院|いいん	诊所
傷める|いためる	弄坏；使受损
衣料|いりょう	衣物
産む|うむ	生（孩子）；产出
負う|おう	背负；承担
教え|おしえ	教导；教义
核|かく	核
格|かく	资格；等级
片付け|かたづけ	收拾；整理
借り|かり	借；欠款
狩り|かり	打猎
管|かん	管
癌|がん	癌症
慣行|かんこう	惯例；常规
官僚|かんりょう	官僚；公务员
器官|きかん	器官
季刊|きかん	季刊
規制|きせい	规定；限制
切り|きり	限度；截止
菌|きん	细菌
近視|きんし	近视
苦|く	苦；痛苦
群|ぐん	群
刑|けい	刑罚
計器|けいき	仪表；计量器
血管|けっかん	血管
公演|こうえん	公演；演出
航海|こうかい	航海
降伏|こうふく	投降
個々|ここ	各个；逐一
故人|こじん	亡故的人；故友
採集|さいしゅう	采集
作|さく	作品；收成
策|さく	对策；计策
全|ぜん	全；全部
具える|そなえる	备齐；具备
蕎麦|そば	荞麦面
それと|それと	还有；以及
田|た	田地
他|た	其他
対|たい	对；成对
大|だい	大
題|だい	题目；主题
大した|たいした	了不起的；显著的
大戦|たいせん	大战
大半|たいはん	大半；多半
タイプライター|タイプライター	打字机
題名|だいめい	标题；题名
だが|だが	但是
互い|たがい	彼此
宝|たから	宝物
宅|たく	宅；家
焚く|たく	烧（火）
だけど|だけど	但是
たしか|たしか	确实；好像是
只|ただ	免费；仅仅
唯|ただ	只；仅
戦い|たたかい	战斗
唯|たった	只；仅仅
たびたび|たびたび	屡次；常常
球|たま	球
偶|たま	偶数
偶々|たまたま	碰巧；偶尔
試し|ためし	尝试；试验
段|だん	台阶；等级
茶|ちゃ	茶
注|ちゅう	注释
ちょうだい|ちょうだい	给我（儿童、女性用语）
遂に|ついに	终于；最终
通貨|つうか	货币
付合う|つきあう	交往；陪同
次ぐ|つぐ	次于
付ける|つける	附加；贴上
務め|つとめ	任务；职责
釣|つり	钓鱼
出|で	出；外出
出合い|であい	相遇
手伝い|てつだい	帮忙；帮手
党|とう	政党
塔|とう	塔
銅貨|どうか	铜币
どうぞよろしく|どうぞよろしく	请多关照
図書|としょ	图书
年寄|としより	老人
泊める|とめる	留宿（别人）
中身|なかみ	内容
中味|なかみ	内容；里面
流れ|ながれ	流；水流
なぜなら|なぜなら	原因是
なにも|なにも	什么也（不）
為る|なる	变成；成为
生る|なる	结（果实）
何で|なんで	为什么
何でも|なんでも	什么都；无论什么
値|ね	价格；价值
野|の	原野；田野
望み|のぞみ	希望；愿望
はあ (かん)|はあ (かん)	哈（叹气声）
計る|はかる	测量；称
放れる|はなれる	脱离；离开
羽根|はね	羽毛
幅|はば	宽度
膝|ひざ	膝盖
美人|びじん	美人
引越し|ひっこし	搬家
秒|びょう	秒
表面|ひょうめん	表面
不|ふ	不～（否定前缀）
不|ぶ	不～（否定前缀）
無|ぶ	无
分|ぶ	分（比例、份额）
夫人|ふじん	夫人
不通|ふつう	中断；不通
部分|ぶぶん	部分
殖やす|ふやす	增加
分|ぶん	部分；份
ペンキ|ペンキ	油漆
ベンチ|ベンチ	长椅
包装|ほうそう	包装
他|ほか	别的；其他
ほぼ|ほぼ	大体上；几乎
堀|ほり	护城河；沟
濠|ほり	护城河
撒く|まく	撒；播
交ざる|まざる	混杂
混じる|まじる	混杂
交じる|まじる	混杂；夹杂
交ぜる|まぜる	掺和；搅拌
松|まつ	松树
祭|まつり	祭典；节日
まとめる|まとめる	归纳；汇总
まぶしい|まぶしい	耀眼；刺眼
柵|さく	栅栏
酸化|さんか	氧化
死|し	死
磁気|じき	磁性
自己|じこ	自己
字体|じたい	字体
衆|しゅう	众人
住|じゅう	居住
私用|しよう	私事
情|じょう	情感；情面
女史|じょし	女士
助詞|じょし	助词
水洗|すいせん	水洗
生理|せいり	生理
膳|ぜん	小饭桌；膳食
禅|ぜん	禅
相|そう	相；外表
添う|そう	伴随；贴近
僧|そう	僧人
像|ぞう	像；雕像
隊|たい	队
例え|たとえ	比方；即使
対|つい	成对；一对
接ぐ|つぐ	接上；嫁接
と|と	和；与
同士|どうし	同伴；彼此
同志|どうし	同志；同好
供|とも	随行；同伴
難|なん	难；困难
班|はん	班；小组
判|はん	判；（纸张）大小
版|はん	版；版本
碑|ひ	碑
票|ひょう	票
福|ふく	福
経る|へる	经过；经历
膜|まく	膜
股|また	胯；大腿根
優|ゆう	优；优秀
有機|ゆうき	有机
世|よ	世；世间
